Date,Rating,Review,Vehicle Name,Miles Driven on Tires,Driving Conditions,Location,Driving Style
"December 30, 2021",4.0,"All the old people that complain about the white letters being brown, its called ""Bleach White Cleaner"" They sell it at auto zone, advanced, wal mart, etc . Maybe would be worth it to you not to buy the dustiest cheapest brake pads you can buy on discount as well. Spend the extra $20 and get some decent low dust pads. ""Cringe"" ",1987 Chevrolet Monte Carlo SS ,"30,000 Miles",Combined Highway/City,"KEARNEYSVILLE, WV",Spirited
"November 22, 2021",4.0,"The BF Goodrich T/A Radial has stood the test of time as the de facto muscle car, restoration and restomod tire of choice.  On several cars I've owned including my 1967 Shelby GT350, 1970 Mustang Mach I, 1972 Mustang Mach I and current 1970 Mustang Boss 302 and 1967 Mustang GT Convertible you can not beat it for ride quality, road handling, grip wet or dry, treadwear, good looks and value.  It is an all season tire and while I do not take show cars out in the rain, snow or ice, it is incredibly capable in all weather conditions.  As a kid in the 1980s it was the tire of choice and 40 years later it is still the tire of choice.  I hope they make this tire forever!",1970 Ford Mustang 5-Lug ,"15,000 Miles",Combined Highway/City,"SMITHTOWN, NY",Spirited
"October 25, 2021",4.5,"I have little to no options in this tire size, so not much choice. For an all season or muscle car tire, they do remarkably well with a style a driving more suited for R compounds. Raised white letters are also cool.",1982 Porsche 911SC Coupe ,"10,000 Miles",Mostly Highway,"AUSTIN, TX",Spirited
"October 11, 2021",Not Rated,"The raised white lettering never cleaned up, the blue protective film was hard to get off, even with Tire White. ",1979 Chevrolet Camaro ,"1,000 Miles",Mostly City,"LANCASTER, MA",Easy Going
"August 01, 2021",4.5,"BF Goodrich Radial T/A tires are classics for a reason. My recently purchased set replaced an ancient set of Cavalier (some old Uniroyal produced house brand) SRX Steel Radial tires that had been on my seldom driven, now classic car for about 30 years. Of course I noticed a difference, lol, but that said the new Radial T/As allow me to experience my old 1987 Trans Am as designed. Now, suddenly you think you're doing 65, yet you're pushing 100MPH because the ride is so smooth. Plus the old 15"" size offer more general ride comfort and rim protection from Eastern pot holes. Michelin Pilot Sports they're certainly not, but my car is not a modern Vette. Radial T/As are the perfect tires for a preserved time capsule like mine that allow one to experience '80s era ""high performance"" driving, where such cars reach their performance edge a -------- of a lot sooner than modern pony cars do, in all it's primitive hooning glory.",1987 Pontiac Trans Am ,"3,700 Miles",Mostly Highway,"TEMPE, AZ",Easy Going
"March 29, 2021",3.5,If you want raised BROWN letter tires and brown spots on your garage floor these are the tires for you. The letters and the entire tire turns BROWN in months and it's impossible to clean them. I'm buying Cooper Cobra's next time and I had been buying radial T/A's since the 80's. It's the end of an era.,1970 Ford Mustang 5-Lug ,"5,000 Miles",Combined Highway/City,"MARYSVILLE, PA",Average
"March 15, 2021",4.0,"I bought these as a replacement for a set of old Goodyear Eagle GT II's on my 1987 442. I'd describe them as ""good enough"" but not great. There is a manufacturing problem with the white letters, so be aware, they will quickly turn brown. I'll be trying the Cooper Cobras next. Wouldn't buy these again.",1987 Oldsmobile Cutlass ,"3,000 Miles",Combined Highway/City,"PHILADELPHIA, PA",Average
"March 15, 2021",Not Rated,"If you have a classic car that doesn't get driven regularly, I suggest you purchase the devices that are designed to be placed under the tire  to keep the tires from flat spotting. I let the car sit for about 3 months and I still ride on , what seem like, square tires.",1979 Chevrolet Corvette ,"1,000 Miles",All Highway,"FAYETTEVILLE, NC",Average
"November 13, 2020",Not Rated,"In the ‘70/‘80s, I used Radial T/As on my GTOs and Corvettes. They were great tires then. On 10-24-18, I bought a set for my newly restored 1977 Corvette. I have only driven 2,157 miles on these tires as they shake the car so bad. I have attempted to balance them twice on two separate balancing machines to no avail. Two of the four will not balance at all: the computers keep requesting more/different weights after each spin. ",1977 Chevrolet Corvette ,"2,157 Miles",Combined Highway/City,"CHANNAHON, IL",Spirited
"July 09, 2020",4.5,"These BFGs are ORIGINAL equipment on all 454SS pickups from 1990-1993.  My first set lasted through about 60,000 miles of mild to spirited driving. This pickup was my wife's daily driver from 1995 to 2000. Additionally, we took it on about 4 long trips, several pulling a loaded car trailer. These tires were stable driving solo at maintained speeds of up to 95, or towing at consistent speeds of 75. I replaced them with the same BFG T/A radials. Several of the long towing trips were on the second set, including one trip of 500+ miles in the snow towing a motorcycle trailer. During the past 25 years, I have kept my 454SS completely stock, including these tires. At about 120,000 miles, I was not able to get the BFGs and put Toyo ST radials on.  I now have about 167,000 miles on the pickup and will need new tires because the Toyos are over 7 years old.  I will be purchasing the BFG T/As again. Primarily, because they are correct for my vehicle, but compared to other brands in the 275/60-15 size, they are the best.  All 5 of my vehicles,pickups, SUV, sports car and street rods all have BFG or Michelin tires on them. After 60 years of driving, it will only be Michelin/BFG from now on.",1993 Chevrolet C1500 454SS ,"60,000 Miles",Combined Highway/City,"CHARLESTON, OR",Spirited
"December 30, 2021",4.0,"All the old people that complain about the white letters being brown, its called ""Bleach White Cleaner"" They sell it at auto zone, advanced, wal mart, etc . Maybe would be worth it to you not to buy the dustiest cheapest brake pads you can buy on discount as well. Spend the extra $20 and get some decent low dust pads. ""Cringe"" ",1987 Chevrolet Monte Carlo SS ,"30,000 Miles",Combined Highway/City,"KEARNEYSVILLE, WV",Spirited
"November 22, 2021",4.0,"The BF Goodrich T/A Radial has stood the test of time as the de facto muscle car, restoration and restomod tire of choice.  On several cars I've owned including my 1967 Shelby GT350, 1970 Mustang Mach I, 1972 Mustang Mach I and current 1970 Mustang Boss 302 and 1967 Mustang GT Convertible you can not beat it for ride quality, road handling, grip wet or dry, treadwear, good looks and value.  It is an all season tire and while I do not take show cars out in the rain, snow or ice, it is incredibly capable in all weather conditions.  As a kid in the 1980s it was the tire of choice and 40 years later it is still the tire of choice.  I hope they make this tire forever!",1970 Ford Mustang 5-Lug ,"15,000 Miles",Combined Highway/City,"SMITHTOWN, NY",Spirited
"October 25, 2021",4.5,"I have little to no options in this tire size, so not much choice. For an all season or muscle car tire, they do remarkably well with a style a driving more suited for R compounds. Raised white letters are also cool.",1982 Porsche 911SC Coupe ,"10,000 Miles",Mostly Highway,"AUSTIN, TX",Spirited
"October 11, 2021",Not Rated,"The raised white lettering never cleaned up, the blue protective film was hard to get off, even with Tire White. ",1979 Chevrolet Camaro ,"1,000 Miles",Mostly City,"LANCASTER, MA",Easy Going
"August 01, 2021",4.5,"BF Goodrich Radial T/A tires are classics for a reason. My recently purchased set replaced an ancient set of Cavalier (some old Uniroyal produced house brand) SRX Steel Radial tires that had been on my seldom driven, now classic car for about 30 years. Of course I noticed a difference, lol, but that said the new Radial T/As allow me to experience my old 1987 Trans Am as designed. Now, suddenly you think you're doing 65, yet you're pushing 100MPH because the ride is so smooth. Plus the old 15"" size offer more general ride comfort and rim protection from Eastern pot holes. Michelin Pilot Sports they're certainly not, but my car is not a modern Vette. Radial T/As are the perfect tires for a preserved time capsule like mine that allow one to experience '80s era ""high performance"" driving, where such cars reach their performance edge a -------- of a lot sooner than modern pony cars do, in all it's primitive hooning glory.",1987 Pontiac Trans Am ,"3,700 Miles",Mostly Highway,"TEMPE, AZ",Easy Going
"March 29, 2021",3.5,If you want raised BROWN letter tires and brown spots on your garage floor these are the tires for you. The letters and the entire tire turns BROWN in months and it's impossible to clean them. I'm buying Cooper Cobra's next time and I had been buying radial T/A's since the 80's. It's the end of an era.,1970 Ford Mustang 5-Lug ,"5,000 Miles",Combined Highway/City,"MARYSVILLE, PA",Average
"March 15, 2021",4.0,"I bought these as a replacement for a set of old Goodyear Eagle GT II's on my 1987 442. I'd describe them as ""good enough"" but not great. There is a manufacturing problem with the white letters, so be aware, they will quickly turn brown. I'll be trying the Cooper Cobras next. Wouldn't buy these again.",1987 Oldsmobile Cutlass ,"3,000 Miles",Combined Highway/City,"PHILADELPHIA, PA",Average
"March 15, 2021",Not Rated,"If you have a classic car that doesn't get driven regularly, I suggest you purchase the devices that are designed to be placed under the tire  to keep the tires from flat spotting. I let the car sit for about 3 months and I still ride on , what seem like, square tires.",1979 Chevrolet Corvette ,"1,000 Miles",All Highway,"FAYETTEVILLE, NC",Average
"November 13, 2020",Not Rated,"In the ‘70/‘80s, I used Radial T/As on my GTOs and Corvettes. They were great tires then. On 10-24-18, I bought a set for my newly restored 1977 Corvette. I have only driven 2,157 miles on these tires as they shake the car so bad. I have attempted to balance them twice on two separate balancing machines to no avail. Two of the four will not balance at all: the computers keep requesting more/different weights after each spin. ",1977 Chevrolet Corvette ,"2,157 Miles",Combined Highway/City,"CHANNAHON, IL",Spirited
"July 09, 2020",4.5,"These BFGs are ORIGINAL equipment on all 454SS pickups from 1990-1993.  My first set lasted through about 60,000 miles of mild to spirited driving. This pickup was my wife's daily driver from 1995 to 2000. Additionally, we took it on about 4 long trips, several pulling a loaded car trailer. These tires were stable driving solo at maintained speeds of up to 95, or towing at consistent speeds of 75. I replaced them with the same BFG T/A radials. Several of the long towing trips were on the second set, including one trip of 500+ miles in the snow towing a motorcycle trailer. During the past 25 years, I have kept my 454SS completely stock, including these tires. At about 120,000 miles, I was not able to get the BFGs and put Toyo ST radials on.  I now have about 167,000 miles on the pickup and will need new tires because the Toyos are over 7 years old.  I will be purchasing the BFG T/As again. Primarily, because they are correct for my vehicle, but compared to other brands in the 275/60-15 size, they are the best.  All 5 of my vehicles,pickups, SUV, sports car and street rods all have BFG or Michelin tires on them. After 60 years of driving, it will only be Michelin/BFG from now on.",1993 Chevrolet C1500 454SS ,"60,000 Miles",Combined Highway/City,"CHARLESTON, OR",Spirited
"March 23, 2020",5.0,"I have 1999 255/60/15 on the rear of javelin and 235/60/15 on front. Can't rate tires on wet or snow because car has never been driven in these conditions. Have owned 26 years,did bracket race a couple years with it and the rear tires after many burn-outs show hardly any wear at all. These rear tires are 21 years old and still look new,including the white lettering. The front tires are 19 years old and still look new,lots of tread left and no cracking anywhere because they were taken care of with tire dressing their entire life. They make no road hum to speak of and grip great. Will always own TA's",1974 American Motors Javelin AMX ,"25,000 Miles",Combined Highway/City,"ROME, NY",Average
